Date,Cases,Deaths,days
01-05-2020,10551,800,1
02-05-2020,10843,831,2
03-05-2020,11192,845,3
04-05-2020,11587,864,4
05-05-2020,12071,872,5
06-05-2020,12438,895,6
07-05-2020,12776,930,7
08-05-2020,13112,943,8
09-05-2020,13645,959,9
10-05-2020,14032,973,10
11-05-2020,14265,991,11
12-05-2020,14749,1007,12
13-05-2020,15438,1028,13
14-05-2020,16006,1043,14
15-05-2020,16496,1076,15
16-05-2020,17025,1089,16
17-05-2020,17514,1148,17
18-05-2020,18010,1191,18
19-05-2020,18496,1221,19
20-05-2020,19189,1242,20
21-05-2020,20162,1278,21
22-05-2020,20796,1326,22
23-05-2020,21745,1351,23
24-05-2020,22271,1372,24
25-05-2020,22750,1391,25
26-05-2020,23165,1418,26
27-05-2020,23851,1473,27
28-05-2020,24538,1496,28
29-05-2020,25216,1520,29
30-05-2020,25773,1573,30
31-05-2020,26473,1613,31
01-06-2020,26940,1641,32
02-06-2020,27549,1663,33
03-06-2020,28233,1698,34
04-06-2020,28818,1721,35
05-06-2020,29521,1770,36
06-06-2020,30514,1801,37
07-06-2020,31186,1851,38
08-06-2020,32033,1883,39
09-06-2020,33075,1923,40
10-06-2020,34316,1959,41
11-06-2020,35295,2000,42
12-06-2020,36406,2048,43
13-06-2020,37420,2091,44
14-06-2020,38277,2134,45
