date,confirmed,deaths,days
01-05-2020,207428,28236,1
02-05-2020,209328,28710,2
03-05-2020,210717,28884,3
04-05-2020,211938,29079,4
05-05-2020,213013,29315,5
06-05-2020,214457,29684,6
07-05-2020,215858,29958,7
08-05-2020,217185,30201,8
09-05-2020,218268,30395,9
10-05-2020,219070,30560,10
11-05-2020,219814,30739,11
12-05-2020,221216,30911,12
13-05-2020,222104,31106,13
14-05-2020,223096,31368,14
15-05-2020,223885,31610,15
16-05-2020,224760,31763,16
17-05-2020,225435,31908,17
18-05-2020,225886,32007,18
19-05-2020,226699,32169,19
20-05-2020,227364,32330,20
21-05-2020,228006,32486,21
22-05-2020,228658,32616,22
23-05-2020,229327,32735,23
24-05-2020,229858,32785,24
25-05-2020,230158,32877,25
26-05-2020,230555,32955,26
27-05-2020,231139,33072,27
28-05-2020,231732,33142,28
29-05-2020,232248,33229,29
30-05-2020,232664,33340,30
31-05-2020,232997,33415,31
01-06-2020,233197,33475,32
02-06-2020,233515,33530,33
03-06-2020,233836,33601,34
04-06-2020,234013,33689,35
05-06-2020,234531,33774,36
06-06-2020,234801,33846,37
07-06-2020,234998,33899,38
08-06-2020,235278,33964,39
09-06-2020,235561,34043,40
10-06-2020,235763,34114,41
11-06-2020,236142,34167,42
12-06-2020,236305,34223,43
