Date,Cases,Deaths,days
01-05-2020,10780,250,1
02-05-2020,10793,250,2
03-05-2020,10801,252,3
04-05-2020,10804,254,4
05-05-2020,10806,255,5
06-05-2020,10810,256,6
07-05-2020,10822,256,7
08-05-2020,10840,256,8
09-05-2020,10874,256,9
10-05-2020,10909,256,10
11-05-2020,10936,258,11
12-05-2020,10962,259,12
13-05-2020,10991,260,13
14-05-2020,11018,260,14
15-05-2020,11037,262,15
16-05-2020,11050,262,16
17-05-2020,11065,263,17
18-05-2020,11078,263,18
19-05-2020,11110,263,19
20-05-2020,11122,264,20
21-05-2020,11142,264,21
22-05-2020,11165,266,22
23-05-2020,11190,266,23
24-05-2020,11206,267,24
25-05-2020,11225,269,25
26-05-2020,11265,269,26
27-05-2020,11344,269,27
28-05-2020,11402,269,28
29-05-2020,11441,269,29
30-05-2020,11468,270,30
31-05-2020,11503,271,31
01-06-2020,11541,272,32
02-06-2020,11590,273,33
03-06-2020,11629,273,34
04-06-2020,11668,273,35
05-06-2020,11719,273,36
06-06-2020,11776,273,37
07-06-2020,11814,273,38
08-06-2020,11852,274,39
09-06-2020,11902,276,40
10-06-2020,11947,276,41
11-06-2020,12003,277,42
12-06-2020,12051,277,43
13-06-2020,12085,277,44
